was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time
False,0.85,True,US,02/08/2013,1789, ,CLT,14:40
False,0.85,True,US,02/08/2013,1807,N769US,PHL,06:30
True,0.85,True,US,02/08/2013,1819,N952UW,PHL,10:30
False,0.85,True,US,02/08/2013,1827,N947UW,PHL,11:30
False,0.85,True,US,02/08/2013,1829, ,PHL,19:30
False,0.85,True,US,02/08/2013,1845, ,PHL,17:30
False,0.85,True,US,02/08/2013,1981,N184US,CLT,11:10
False,0.85,True,US,02/08/2013,1991,N114UW,PHL,07:00
False,0.85,True,US,02/08/2013,2021,N124US,DCA,06:00
False,0.85,True,US,02/08/2013,2023,N751UW,DCA,07:00
True,0.85,True,US,02/08/2013,2025,N740UW,DCA,08:00
True,0.85,True,US,02/08/2013,2027,N770UW,DCA,09:00
True,0.85,True,US,02/08/2013,2029,N751UW,DCA,10:00
False,0.85,True,US,02/08/2013,2031,N107US,DCA,11:00
True,0.85,True,US,02/08/2013,2033,N765US,DCA,12:00
False,0.85,True,US,02/08/2013,2035, ,DCA,13:00
False,0.85,True,US,02/08/2013,2037, ,DCA,14:00
False,0.85,True,US,02/08/2013,2039, ,DCA,15:00
False,0.85,True,US,02/08/2013,2041, ,DCA,16:00
False,0.85,True,US,02/08/2013,2043, ,DCA,17:00
False,0.85,True,US,02/08/2013,2045, ,DCA,18:00
False,0.85,True,US,02/08/2013,2047, ,DCA,19:00
False,0.85,True,US,02/08/2013,2049, ,DCA,20:00
False,0.85,True,US,02/08/2013,2115,N954UW,LGA,06:00
False,0.85,True,US,02/08/2013,2117,N959UW,LGA,07:00
False,0.85,True,US,02/08/2013,2119,N737US,LGA,08:00
False,0.85,True,US,02/08/2013,2121,N961UW,LGA,09:00
False,0.85,True,US,02/08/2013,2123,N954UW,LGA,10:00
False,0.85,True,US,02/08/2013,2125,N953UW,LGA,11:00
False,0.85,True,US,02/08/2013,2127, ,LGA,12:00
False,0.85,True,US,02/08/2013,2129,N961UW,LGA,13:00
False,0.85,True,US,02/08/2013,2131,N954UW,LGA,14:00
False,0.85,True,US,02/08/2013,2133, ,LGA,15:00
False,0.85,True,US,02/08/2013,2135, ,LGA,16:00
False,0.85,True,US,02/08/2013,2137, ,LGA,17:00
False,0.85,True,US,02/08/2013,2139, ,LGA,18:00
False,0.85,True,US,02/08/2013,2141, ,LGA,19:00
False,0.85,True,US,02/08/2013,2143, ,LGA,20:00
False,0.85,True,US,02/08/2013,2145,N953UW,LGA,06:45
False,1.0,True,US,02/09/2013,0067, ,CLT,05:00
